
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
17 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 738
17 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 663
17 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 647
17 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 659
17 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 675
17 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 680
17 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 717
17 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 1081
17 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 1071
17 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 1007
17 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 1160
17 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 1167
17 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1081
17 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 1148
17 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1163
17 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1199
17 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1155
17 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1826
17 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1725
17 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1777
17 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1755
17 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1754
17 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 480
17 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 512
17 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 490
17 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 515
17 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 511
17 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 771
17 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 709
17 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 707
17 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 701
17 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 653
17 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 601
17 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 636
17 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 673
17 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 684
17 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 644
17 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 1055
17 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 1016
17 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 1070
17 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 1054
17 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 1101
18 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2226
18 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2203
18 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2285
18 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2325
18 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2371
18 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3370
18 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3573
18 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3516
18 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3459
18 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3651
18 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 1005
18 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 977
18 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 996
18 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 998
18 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 1038
18 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1457
18 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1484
18 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1423
18 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1395
18 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1470
18 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 1221
18 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 1226
18 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 1289
18 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 1327
18 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 1333
18 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 1913
18 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 2089
18 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 2093
18 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 2064
18 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 2181
18 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1134
18 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 1148
18 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 1137
18 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 1171
18 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 1185
18 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1693
18 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 1772
18 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 1803
18 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 1688
18 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 1890
18 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 506
18 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 509
18 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 486
18 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 504
18 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 515
18 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 729
18 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 700
18 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 719
18 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 689
18 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 749
18 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 628
18 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 639
18 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 651
18 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 667
18 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 670
18 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 964
18 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 1072
18 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 1084
18 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 999
18 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 1141
18 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 1092
18 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 1055
18 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1148
18 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1154
18 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1186
18 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1677
18 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1801
18 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1713
18 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1771
18 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1761
18 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 499
18 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 468
18 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 510
18 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 494
18 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 523
18 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 728
18 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 784
18 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 704
18 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 706
18 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 721
18 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 593
18 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 587
18 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 638
18 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 660
18 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 663
18 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 949
18 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 1017
18 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 1009
18 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 1065
18 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 1040
19 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 2014
19 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 2177
19 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2162
19 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2275
19 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2299
19 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3335
19 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3325
19 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3513
19 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3478
19 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3418
19 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 812
19 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 980
19 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 951
19 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 992
19 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 983
19 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1338
19 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1445
19 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1434
19 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1405
19 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1360
19 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 1202
19 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 1197
19 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 1211
19 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 1283
19 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 1316
19 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 1997
19 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 1880
19 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 2079
19 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 2073
19 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 2058
19 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1086
19 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 1115
19 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 1127
19 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 1142
19 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 1163
19 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1759
19 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 1686
19 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 1740
19 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 1779
19 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 1661
19 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 449
19 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 491
19 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 494
19 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 490
19 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 498
19 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 697
19 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 738
19 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 681
19 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 710
19 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 656
19 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 637
19 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 624
19 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 633
19 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 652
19 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 665
19 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 1062
19 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 948
19 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 1059
19 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 1069
19 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 1005
19 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 928
19 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 1062
19 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1035
19 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1133
19 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1136
19 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1576
19 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1639
19 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1773
19 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1699
19 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1757
19 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 363
19 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 489
19 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 457
19 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 502
19 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 485
19 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 641
19 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 707
19 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 753
19 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 695
19 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 704
19 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 565
19 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 573
19 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 578
19 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 631
19 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 651
19 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 935
19 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 932
19 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 1020
19 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 1004
19 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 1053
20-24 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 13685
20-24 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 12255
20-24 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 11251
20-24 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 10380
20-24 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 10098
20-24 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 20427
20-24 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 19109
20-24 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 17740
20-24 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 16857
20-24 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 16522
20-24 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 6030
20-24 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 5318
20-24 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 4843
20-24 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 4433
20-24 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 4324
20-24 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 8697
20-24 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 8044
20-24 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 7392
20-24 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 6949
20-24 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 6774
20-24 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 7655
20-24 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 6937
20-24 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 6408
20-24 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 5947
20-24 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 5774
20-24 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 11730
20-24 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 11065
20-24 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 10348
20-24 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 9908
20-24 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 9748
20-24 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 7092
20-24 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 6518
20-24 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 6074
20-24 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 5523
20-24 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 5338
20-24 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 10550
20-24 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 9962
20-24 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 9245
20-24 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 8710
20-24 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 8535
20-24 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 3115
20-24 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 2854
20-24 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 2627
20-24 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 2381
20-24 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 2284
20-24 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 4408
20-24 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 4094
20-24 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 3778
20-24 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 3550
20-24 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 3450
20-24 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 3977
20-24 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 3664
20-24 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 3447
20-24 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 3142
20-24 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 3054
20-24 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 6142
20-24 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 5868
20-24 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 5467
20-24 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 5160
20-24 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 5085
20-24 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 6593
20-24 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 5737
20-24 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 5177
20-24 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 4857
20-24 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 4760
20-24 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 9877
20-24 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 9147
20-24 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 8495
20-24 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 8147
20-24 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 7987
20-24 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 2915
20-24 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 2464
20-24 ani, Feminin, Urban, Covasna, Anul 2014, Numar persoane, 2216
20-24 ani, Feminin, Urban, Covasna, Anul 2015, Numar persoane, 2052
20-24 ani, Feminin, Urban, Covasna, Anul 2016, Numar persoane, 2040
20-24 ani, Feminin, Urban, Harghita, Anul 2012, Numar persoane, 4289
20-24 ani, Feminin, Urban, Harghita, Anul 2013, Numar persoane, 3950
20-24 ani, Feminin, Urban, Harghita, Anul 2014, Numar persoane, 3614
20-24 ani, Feminin, Urban, Harghita, Anul 2015, Numar persoane, 3399
20-24 ani, Feminin, Urban, Harghita, Anul 2016, Numar persoane, 3324
20-24 ani, Feminin, Rural, Covasna, Anul 2012, Numar persoane, 3678
20-24 ani, Feminin, Rural, Covasna, Anul 2013, Numar persoane, 3273
20-24 ani, Feminin, Rural, Covasna, Anul 2014, Numar persoane, 2961
20-24 ani, Feminin, Rural, Covasna, Anul 2015, Numar persoane, 2805
20-24 ani, Feminin, Rural, Covasna, Anul 2016, Numar persoane, 2720
20-24 ani, Feminin, Rural, Harghita, Anul 2012, Numar persoane, 5588
20-24 ani, Feminin, Rural, Harghita, Anul 2013, Numar persoane, 5197
20-24 ani, Feminin, Rural, Harghita, Anul 2014, Numar persoane, 4881
20-24 ani, Feminin, Rural, Harghita, Anul 2015, Numar persoane, 4748
20-24 ani, Feminin, Rural, Harghita, Anul 2016, Numar persoane, 4663
20 ani, Total, Total, Covasna, Anul 2012, Numar persoane, 1917
20 ani, Total, Total, Covasna, Anul 2013, Numar persoane, 1948
20 ani, Total, Total, Covasna, Anul 2014, Numar persoane, 2160
20 ani, Total, Total, Covasna, Anul 2015, Numar persoane, 2152
20 ani, Total, Total, Covasna, Anul 2016, Numar persoane, 2236
20 ani, Total, Total, Harghita, Anul 2012, Numar persoane, 3399
20 ani, Total, Total, Harghita, Anul 2013, Numar persoane, 3246
20 ani, Total, Total, Harghita, Anul 2014, Numar persoane, 3293
20 ani, Total, Total, Harghita, Anul 2015, Numar persoane, 3501
20 ani, Total, Total, Harghita, Anul 2016, Numar persoane, 3441
20 ani, Total, Urban, Covasna, Anul 2012, Numar persoane, 823
20 ani, Total, Urban, Covasna, Anul 2013, Numar persoane, 775
20 ani, Total, Urban, Covasna, Anul 2014, Numar persoane, 965
20 ani, Total, Urban, Covasna, Anul 2015, Numar persoane, 941
20 ani, Total, Urban, Covasna, Anul 2016, Numar persoane, 973
20 ani, Total, Urban, Harghita, Anul 2012, Numar persoane, 1414
20 ani, Total, Urban, Harghita, Anul 2013, Numar persoane, 1324
20 ani, Total, Urban, Harghita, Anul 2014, Numar persoane, 1421
20 ani, Total, Urban, Harghita, Anul 2015, Numar persoane, 1414
20 ani, Total, Urban, Harghita, Anul 2016, Numar persoane, 1385
20 ani, Total, Rural, Covasna, Anul 2012, Numar persoane, 1094
20 ani, Total, Rural, Covasna, Anul 2013, Numar persoane, 1173
20 ani, Total, Rural, Covasna, Anul 2014, Numar persoane, 1195
20 ani, Total, Rural, Covasna, Anul 2015, Numar persoane, 1211
20 ani, Total, Rural, Covasna, Anul 2016, Numar persoane, 1263
20 ani, Total, Rural, Harghita, Anul 2012, Numar persoane, 1985
20 ani, Total, Rural, Harghita, Anul 2013, Numar persoane, 1922
20 ani, Total, Rural, Harghita, Anul 2014, Numar persoane, 1872
20 ani, Total, Rural, Harghita, Anul 2015, Numar persoane, 2087
20 ani, Total, Rural, Harghita, Anul 2016, Numar persoane, 2056
20 ani, Masculin, Total, Covasna, Anul 2012, Numar persoane, 1019
20 ani, Masculin, Total, Covasna, Anul 2013, Numar persoane, 1058
20 ani, Masculin, Total, Covasna, Anul 2014, Numar persoane, 1122
20 ani, Masculin, Total, Covasna, Anul 2015, Numar persoane, 1116
20 ani, Masculin, Total, Covasna, Anul 2016, Numar persoane, 1119
20 ani, Masculin, Total, Harghita, Anul 2012, Numar persoane, 1774
20 ani, Masculin, Total, Harghita, Anul 2013, Numar persoane, 1724
20 ani, Masculin, Total, Harghita, Anul 2014, Numar persoane, 1663
20 ani, Masculin, Total, Harghita, Anul 2015, Numar persoane, 1742
20 ani, Masculin, Total, Harghita, Anul 2016, Numar persoane, 1763
20 ani, Masculin, Urban, Covasna, Anul 2012, Numar persoane, 447
20 ani, Masculin, Urban, Covasna, Anul 2013, Numar persoane, 431
20 ani, Masculin, Urban, Covasna, Anul 2014, Numar persoane, 490
20 ani, Masculin, Urban, Covasna, Anul 2015, Numar persoane, 487
20 ani, Masculin, Urban, Covasna, Anul 2016, Numar persoane, 477
20 ani, Masculin, Urban, Harghita, Anul 2012, Numar persoane, 706
20 ani, Masculin, Urban, Harghita, Anul 2013, Numar persoane, 686
20 ani, Masculin, Urban, Harghita, Anul 2014, Numar persoane, 723
20 ani, Masculin, Urban, Harghita, Anul 2015, Numar persoane, 680
20 ani, Masculin, Urban, Harghita, Anul 2016, Numar persoane, 703
20 ani, Masculin, Rural, Covasna, Anul 2012, Numar persoane, 572
20 ani, Masculin, Rural, Covasna, Anul 2013, Numar persoane, 627
20 ani, Masculin, Rural, Covasna, Anul 2014, Numar persoane, 632
20 ani, Masculin, Rural, Covasna, Anul 2015, Numar persoane, 629
20 ani, Masculin, Rural, Covasna, Anul 2016, Numar persoane, 642
20 ani, Masculin, Rural, Harghita, Anul 2012, Numar persoane, 1068
20 ani, Masculin, Rural, Harghita, Anul 2013, Numar persoane, 1038
20 ani, Masculin, Rural, Harghita, Anul 2014, Numar persoane, 940
20 ani, Masculin, Rural, Harghita, Anul 2015, Numar persoane, 1062
20 ani, Masculin, Rural, Harghita, Anul 2016, Numar persoane, 1060
20 ani, Feminin, Total, Covasna, Anul 2012, Numar persoane, 898
20 ani, Feminin, Total, Covasna, Anul 2013, Numar persoane, 890
20 ani, Feminin, Total, Covasna, Anul 2014, Numar persoane, 1038
20 ani, Feminin, Total, Covasna, Anul 2015, Numar persoane, 1036
20 ani, Feminin, Total, Covasna, Anul 2016, Numar persoane, 1117
20 ani, Feminin, Total, Harghita, Anul 2012, Numar persoane, 1625
20 ani, Feminin, Total, Harghita, Anul 2013, Numar persoane, 1522
20 ani, Feminin, Total, Harghita, Anul 2014, Numar persoane, 1630
20 ani, Feminin, Total, Harghita, Anul 2015, Numar persoane, 1759
20 ani, Feminin, Total, Harghita, Anul 2016, Numar persoane, 1678
20 ani, Feminin, Urban, Covasna, Anul 2012, Numar persoane, 376
20 ani, Feminin, Urban, Covasna, Anul 2013, Numar persoane, 344
